,Open Int,time to maturity (years),moneyness,inv_spread
2097,452,0.021917808219178082,0.9274193548387096,6.666666666666666
2099,2177,0.021917808219178082,0.9258474576271186,6.666666666666666
787,1755,0.0027397260273972603,0.9842342342342343,6.666666666666666
795,1258,0.0027397260273972603,0.9807001795332136,6.666666666666666
1661,139,0.01643835616438356,0.9634038800705468,6.666666666666666
2057,312,0.021917808219178082,0.9600175746924429,6.666666666666666
5785,253,0.07945205479452055,0.9028925619834711,6.666666666666666
5813,355,0.07945205479452055,0.8925653594771242,6.666666666666666
4255,147,0.06027397260273973,0.8954918032786885,6.666666666666666
1689,153,0.01643835616438356,0.9401893287435457,6.666666666666666
7055,1,0.11506849315068493,0.8276515151515151,6.666666666666666
1691,79,0.01643835616438356,0.938573883161512,6.666666666666666
5769,365,0.07945205479452055,0.9089018302828619,6.666666666666666
1693,7540,0.01643835616438356,0.9369639794168096,6.666666666666666
5773,276,0.07945205479452055,0.907392026578073,6.666666666666666
1319,78,0.0136986301369863,0.9685283687943262,6.666666666666666
1317,159,0.0136986301369863,0.9702486678507993,6.666666666666666
1315,83,0.0136986301369863,0.9719750889679716,6.666666666666666
1311,1098,0.0136986301369863,0.9754464285714286,6.666666666666666
2069,8338,0.021917808219178082,0.95,6.666666666666666
2825,9,0.03561643835616438,0.8984375,6.666666666666666
1695,39,0.01643835616438356,0.9353595890410958,6.666666666666666
2797,280,0.03561643835616438,0.9289965986394558,6.666666666666666
2791,280,0.03561643835616438,0.9337606837606838,6.666666666666666
2789,3526,0.03561643835616438,0.9353595890410958,6.666666666666666
2787,381,0.03561643835616438,0.9369639794168096,6.666666666666666
2785,2618,0.03561643835616438,0.938573883161512,6.666666666666666
2781,16744,0.03561643835616438,0.9418103448275862,6.666666666666666
2773,2295,0.03561643835616438,0.9483506944444444,6.666666666666666
1335,2613,0.0136986301369863,0.9549825174825175,6.666666666666666
1337,443,0.0136986301369863,0.9533158813263525,6.666666666666666
1339,593,0.0136986301369863,0.9516550522648084,6.666666666666666
6647,30,0.09863013698630137,0.874,6.666666666666666
2059,6366,0.021917808219178082,0.9583333333333334,6.666666666666666
2067,808,0.021917808219178082,0.9516550522648084,6.666666666666666
2771,4960,0.03561643835616438,0.95,6.666666666666666
4237,444,0.06027397260273973,0.9180672268907563,6.666666666666666
4239,51,0.06027397260273973,0.9165268456375839,6.666666666666666
2065,2666,0.021917808219178082,0.9533158813263525,6.666666666666666
5865,67,0.07945205479452055,0.853515625,6.666666666666666
6653,3,0.09863013698630137,0.8403846153846154,6.666666666666666
1341,1588,0.0136986301369863,0.95,6.666666666666666
5757,313,0.07945205479452055,0.9134615384615384,6.666666666666666
4245,4,0.06027397260273973,0.9119365609348915,6.666666666666666
2101,368,0.021917808219178082,0.9242808798646363,6.666666666666666
4247,2535,0.06027397260273973,0.9104166666666667,6.666666666666666
2103,462,0.021917808219178082,0.9227195945945946,6.666666666666666
5761,270,0.07945205479452055,0.9119365609348915,6.666666666666666
7047,40638,0.11506849315068493,0.8810483870967742,6.666666666666666
7049,612,0.11506849315068493,0.8670634920634921,6.666666666666666
2793,4302,0.03561643835616438,0.9321672354948806,6.666666666666666
2045,804,0.021917808219178082,0.9702486678507993,6.666666666666661
5753,340,0.07945205479452055,0.9149916247906198,6.666666666666661
5741,345,0.07945205479452055,0.9211635750421585,6.666666666666661
2765,3858,0.03561643835616438,0.9549825174825175,6.666666666666661
2759,1107,0.03561643835616438,0.9600175746924429,6.666666666666661
5725,222,0.07945205479452055,0.9289965986394558,6.666666666666661
5733,1010,0.07945205479452055,0.9258474576271186,6.666666666666661
7011,4547,0.11506849315068493,0.9258474576271186,6.666666666666651
