,Open Int,time to maturity (years),moneyness
10897,3,0.5972602739726027,1.285294117647059
283,2,0.0027397260273972603,1.2733100233100234
7907,2,0.17534246575342466,1.2733100233100234
11131,14,0.6164383561643836,1.2703488372093024
9711,31,0.2876712328767123,1.2703488372093024
10029,17,0.3287671232876712,1.2703488372093024
10261,9,0.36712328767123287,1.2703488372093024
10577,2,0.4547945205479452,1.2703488372093024
5093,3,0.07945205479452055,1.2703488372093024
11701,20,0.873972602739726,1.2703488372093024
10901,5,0.5972602739726027,1.2703488372093024
11475,25,0.8465753424657534,1.2703488372093024
2521,12,0.03561643835616438,1.2703488372093024
287,3,0.0027397260273972603,1.2703488372093024
6719,39,0.11506849315068493,1.2703488372093024
5109,2,0.07945205479452055,1.2586405529953917
10033,14,0.3287671232876712,1.2557471264367817
11703,45,0.873972602739726,1.2557471264367817
10905,71,0.5972602739726027,1.2557471264367817
2893,2,0.0410958904109589,1.2557471264367817
6725,56,0.11506849315068493,1.2557471264367817
10263,29,0.36712328767123287,1.2557471264367817
11479,37,0.8465753424657534,1.2557471264367817
2523,8,0.03561643835616438,1.2557471264367817
11133,24,0.6164383561643836,1.2557471264367817
5113,41,0.07945205479452055,1.2557471264367817
311,1,0.0027397260273972603,1.2528669724770642
315,1,0.0027397260273972603,1.25
1799,1,0.021917808219178082,1.2414772727272727
327,1,0.0027397260273972603,1.2414772727272727
10265,203,0.36712328767123287,1.2414772727272727
10037,32,0.3287671232876712,1.2414772727272727
5133,1,0.07945205479452055,1.2414772727272727
11483,63,0.8465753424657534,1.2414772727272727
10909,142,0.5972602739726027,1.2414772727272727
8761,4,0.20273972602739726,1.2414772727272727
11135,12,0.6164383561643836,1.2414772727272727
9715,84,0.2876712328767123,1.2414772727272727
6731,33,0.11506849315068493,1.2414772727272727
2529,2,0.03561643835616438,1.2414772727272727
11705,15,0.873972602739726,1.2414772727272727
343,1,0.0027397260273972603,1.2302927927927927
11137,56,0.6164383561643836,1.2275280898876404
10267,20,0.36712328767123287,1.2275280898876404
11707,5,0.873972602739726,1.2275280898876404
11487,29,0.8465753424657534,1.2275280898876404
2535,41,0.03561643835616438,1.2275280898876404
10913,2,0.5972602739726027,1.2275280898876404
6737,64,0.11506849315068493,1.2275280898876404
9717,63,0.2876712328767123,1.2275280898876404
10041,25,0.3287671232876712,1.2275280898876404
355,1,0.0027397260273972603,1.2220357941834452
10045,381,0.3287671232876712,1.2138888888888888
8765,4,0.20273972602739726,1.2138888888888888
9719,62,0.2876712328767123,1.2138888888888888
2541,34,0.03561643835616438,1.2138888888888888
11491,11,0.8465753424657534,1.2138888888888888
11709,38,0.873972602739726,1.2138888888888888
10269,93,0.36712328767123287,1.2138888888888888
6743,50,0.11506849315068493,1.2138888888888888
1819,1,0.021917808219178082,1.2138888888888888
6749,41,0.11506849315068493,1.2005494505494505
8011,30,0.17534246575342466,1.2005494505494505
9721,16,0.2876712328767123,1.2005494505494505
10921,2,0.5972602739726027,1.2005494505494505
10587,1,0.4547945205479452,1.2005494505494505
11495,15,0.8465753424657534,1.2005494505494505
10049,38,0.3287671232876712,1.2005494505494505
11141,73,0.6164383561643836,1.2005494505494505
10271,39,0.36712328767123287,1.2005494505494505
2547,29,0.03561643835616438,1.2005494505494505
11713,757,0.873972602739726,1.1875
6755,326,0.11506849315068493,1.1875
1839,2,0.021917808219178082,1.1875
10273,15,0.36712328767123287,1.1875
8769,52,0.20273972602739726,1.1875
10925,23,0.5972602739726027,1.1875
9249,1,0.25205479452054796,1.1875
2553,149,0.03561643835616438,1.1875
10053,39,0.3287671232876712,1.1875
2941,20,0.0410958904109589,1.1875
2199,2,0.030136986301369864,1.1875
7099,12,0.136986301369863,1.1875
407,65,0.0027397260273972603,1.1875
11143,26,0.6164383561643836,1.1875
9723,1,0.2876712328767123,1.1875
11499,48,0.8465753424657534,1.1875
10277,23,0.36712328767123287,1.174731182795699
1849,2,0.021917808219178082,1.174731182795699
9725,10,0.2876712328767123,1.174731182795699
11503,38,0.8465753424657534,1.174731182795699
9261,3,0.25205479452054796,1.174731182795699
427,46,0.0027397260273972603,1.174731182795699
2559,25,0.03561643835616438,1.174731182795699
11145,35,0.6164383561643836,1.174731182795699
10929,43,0.5972602739726027,1.174731182795699
10057,112,0.3287671232876712,1.174731182795699
6761,71,0.11506849315068493,1.174731182795699
1851,1,0.021917808219178082,1.1722103004291846
431,10,0.0027397260273972603,1.1722103004291846
443,29,0.0027397260273972603,1.1647121535181237
3987,1,0.06027397260273973,1.1622340425531914
10061,70,0.3287671232876712,1.1622340425531914
10283,284,0.36712328767123287,1.1622340425531914
447,183,0.0027397260273972603,1.1622340425531914
8071,1,0.17534246575342466,1.1622340425531914
6771,1375,0.11506849315068493,1.1622340425531914
6385,1,0.09863013698630137,1.1622340425531914
7109,3,0.136986301369863,1.1622340425531914
11147,30,0.6164383561643836,1.1622340425531914
9727,15,0.2876712328767123,1.1622340425531914
11717,1,0.873972602739726,1.1622340425531914
5253,3,0.07945205479452055,1.1622340425531914
10933,1,0.5972602739726027,1.1622340425531914
2565,219,0.03561643835616438,1.1622340425531914
11507,39,0.8465753424657534,1.1622340425531914
9273,1,0.25205479452054796,1.1622340425531914
5257,37,0.07945205479452055,1.1597664543524415
3991,10,0.06027397260273973,1.1573093220338984
455,1,0.0027397260273972603,1.1573093220338984
459,1,0.0027397260273972603,1.154862579281184
8083,27,0.17534246575342466,1.154862579281184
8087,15,0.17534246575342466,1.1524261603375527
3995,220,0.06027397260273973,1.1524261603375527
6395,113,0.09863013698630137,1.15
10065,29,0.3287671232876712,1.15
10289,8,0.36712328767123287,1.15
6781,321,0.11506849315068493,1.15
9285,1,0.25205479452054796,1.15
5273,5,0.07945205479452055,1.15
2571,15,0.03561643835616438,1.15
11511,42,0.8465753424657534,1.15
11149,22,0.6164383561643836,1.15
10937,23,0.5972602739726027,1.15
467,14,0.0027397260273972603,1.15
1479,12,0.01643835616438356,1.1475840336134453
471,29,0.0027397260273972603,1.1475840336134453
8095,15,0.17534246575342466,1.1475840336134453
5277,59,0.07945205479452055,1.1475840336134453
9289,82,0.25205479452054796,1.1475840336134453
3999,10,0.06027397260273973,1.1475840336134453
6399,51,0.09863013698630137,1.1451781970649895
1483,7,0.01643835616438356,1.1427824267782427
479,24,0.0027397260273972603,1.1427824267782427
1485,17,0.01643835616438356,1.1403966597077244
483,29,0.0027397260273972603,1.1403966597077244
10941,6,0.5972602739726027,1.1380208333333333
2981,4,0.0410958904109589,1.1380208333333333
8785,14,0.20273972602739726,1.1380208333333333
10069,1008,0.3287671232876712,1.1380208333333333
5293,5,0.07945205479452055,1.1380208333333333
11721,59,0.873972602739726,1.1380208333333333
8111,3,0.17534246575342466,1.1380208333333333
5935,5,0.08767123287671233,1.1380208333333333
9731,24,0.2876712328767123,1.1380208333333333
487,48,0.0027397260273972603,1.1380208333333333
