SPX (S&P 500 INDEX),2731.25,+32.62,
Feb 15 2018 @ 16:16 ET,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Feb 1840.00 (SPXW1816B1840),0.0,0.0,882.40,894.50,0,0,18 Feb 1840.00 (SPXW1816N1840),0.15,0.0,0.0,0.05,0,105,
18 Feb 1840.00 (SPX1816B1840-E),879.45,0.0,887.10,898.50,0,2,18 Feb 1840.00 (SPX1816N1840-E),1.00,0.0,0.0,0.10,0,1881,
18 Feb 1840.00 (SPXW1816B1840-E),0.0,0.0,882.40,894.50,0,0,18 Feb 1840.00 (SPXW1816N1840-E),0.15,0.0,0.0,0.05,0,105,
18 Feb 1850.00 (SPX1816B1850),0.0,0.0,877.10,888.50,0,0,18 Feb 1850.00 (SPX1816N1850),0.10,0.0,0.0,0.05,0,21358,
18 Feb 1850.00 (SPXW1816B1850),0.0,0.0,872.40,884.50,0,0,18 Feb 1850.00 (SPXW1816N1850),0.05,0.0,0.0,0.05,0,647,
18 Feb 1850.00 (SPX1816B1850-E),0.0,0.0,877.10,888.50,0,0,18 Feb 1850.00 (SPX1816N1850-E),0.10,0.0,0.0,0.05,0,21358,
18 Feb 1850.00 (SPXW1816B1850-E),0.0,0.0,872.40,884.50,0,0,18 Feb 1850.00 (SPXW1816N1850-E),0.05,0.0,0.0,0.05,0,647,
18 Feb 1860.00 (SPX1816B1860),859.40,0.0,867.10,878.50,0,2,18 Feb 1860.00 (SPX1816N1860),0.60,0.0,0.0,0.10,0,2059,
18 Feb 1860.00 (SPXW1816B1860),0.0,0.0,862.40,874.50,0,0,18 Feb 1860.00 (SPXW1816N1860),3.40,0.0,0.0,0.05,0,206,
18 Feb 1860.00 (SPX1816B1860-E),859.40,0.0,867.10,878.50,0,2,18 Feb 1860.00 (SPX1816N1860-E),0.60,0.0,0.0,0.10,0,2059,
18 Feb 1860.00 (SPXW1816B1860-E),0.0,0.0,862.40,874.50,0,0,18 Feb 1860.00 (SPXW1816N1860-E),3.40,0.0,0.0,0.05,0,206,
18 Feb 1870.00 (SPX1816B1870),0.0,0.0,857.10,868.50,0,0,18 Feb 1870.00 (SPX1816N1870),0.65,0.0,0.0,0.10,0,1901,
18 Feb 1870.00 (SPXW1816B1870),0.0,0.0,852.40,864.50,0,0,18 Feb 1870.00 (SPXW1816N1870),2.20,0.0,0.0,0.05,0,105,
18 Feb 1870.00 (SPX1816B1870-E),0.0,0.0,857.10,868.50,0,0,18 Feb 1870.00 (SPX1816N1870-E),0.65,0.0,0.0,0.10,0,1901,
18 Feb 1870.00 (SPXW1816B1870-E),0.0,0.0,852.40,864.50,0,0,18 Feb 1870.00 (SPXW1816N1870-E),2.20,0.0,0.0,0.05,0,105,
18 Feb 1875.00 (SPX1816B1875),864.53,0.0,852.10,863.50,0,2,18 Feb 1875.00 (SPX1816N1875),1.10,0.0,0.0,0.05,0,1909,
18 Feb 1875.00 (SPXW1816B1875),0.0,0.0,847.50,862.60,0,0,18 Feb 1875.00 (SPXW1816N1875),0.05,0.0,0.0,0.05,0,457,
18 Feb 1875.00 (SPX1816B1875-E),864.53,0.0,852.10,863.50,0,2,18 Feb 1875.00 (SPX1816N1875-E),1.10,0.0,0.0,0.05,0,1909,
18 Feb 1875.00 (SPXW1816B1875-E),0.0,0.0,847.50,862.60,0,0,18 Feb 1875.00 (SPXW1816N1875-E),0.05,0.0,0.0,0.05,0,457,
18 Feb 1880.00 (SPX1816B1880),0.0,0.0,847.10,858.50,0,0,18 Feb 1880.00 (SPX1816N1880),0.05,0.0,0.0,0.10,0,1392,
18 Feb 1880.00 (SPXW1816B1880),0.0,0.0,842.40,854.50,0,0,18 Feb 1880.00 (SPXW1816N1880),7.00,0.0,0.0,0.05,0,219,
18 Feb 1880.00 (SPX1816B1880-E),0.0,0.0,847.10,858.50,0,0,18 Feb 1880.00 (SPX1816N1880-E),0.05,0.0,0.0,0.10,0,1392,
